[v: 35] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 12, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 13, -1000000000, -1000000000, 10, -1000000000, 11, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 17] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 12, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 10, -1000000000, 11, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 28] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 12, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 10, -1000000000, 11, -1000000000, -1000000000, 1, 3, 4, 18, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 47] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 12, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 10, -1000000000, 11, -1000000000, -1000000000, 1, 3, 4, 18, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 19 }] 
[v: 36] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 12, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 10, -1000000000, 11, -1000000000, -1000000000, 1, 3, 4, 18, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, 19, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 8] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 10, -1000000000, 11, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 22] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 10, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 20] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 9, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 13] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 8, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 31] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 22, -1000000000, -1000000000, 7, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 34] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 22, -1000000000, -1000000000, 23, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 37] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 6, -1000000000, 22, -1000000000, -1000000000, 23, 16, -1000000000, 24, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 24] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, 25, 1, 3, 4, -1000000000, 6, -1000000000, 22, -1000000000, -1000000000, 23, 16, -1000000000, 24, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 29] [dp: { 15, 5, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 24, -1000000000, 22, -1000000000, -1000000000, 23, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
[v: 1] [dp: { 15, 25, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, 18, -1000000000, 0, -1000000000, 2, 21, -1000000000, -1000000000, -1000000000, 17, -1000000000, -1000000000, 20, -1000000000, 19, -1000000000, -1000000000, 1, 3, 4, -1000000000, 24, -1000000000, 22, -1000000000, -1000000000, 23, 16, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000, -1000000000 }] 
